"bathrooms","exterior","price","rooms","size","longitude","latitude"
3,TRUE,650000,4,180,-3.6638693,40.4368842
3,FALSE,5e+05,4,185,-3.6179993,40.4501575
2,TRUE,390000,3,99,-3.6129955,40.4201411
2,TRUE,196000,2,97,-3.6955302,40.3730061
4,FALSE,850000,4,206,-3.7634793,40.463822
5,FALSE,950000,5,280,-3.6328923,40.4802427
7,FALSE,1950000,6,630,-3.774098,40.4613983
1,TRUE,220000,3,85,-3.7199774,40.480194
1,TRUE,343000,1,69,-3.7029456,40.4237455
1,FALSE,73500,2,47,-3.6988462,40.4084306
1,TRUE,195000,0,33,-3.6867932,40.4257285
3,FALSE,580000,3,143,-3.7911888,40.4686276
1,TRUE,215690,1,85,-3.7021129,40.4607008
1,TRUE,172362,1,53,-3.7021129,40.4607008
1,TRUE,206000,2,73,-3.7756872,40.5172726
1,TRUE,158000,0,63,-3.6955486,40.4015018
1,TRUE,159900,1,49,-3.7021129,40.4607008
2,TRUE,680000,4,255,-3.707738,40.4218428
1,FALSE,198000,2,65,-3.681381,40.4052533
1,TRUE,118000,2,88,-3.7590767,40.365851
2,TRUE,4e+05,2,116,-3.6258457,40.4590882
3,TRUE,652000,5,220,-3.712465,40.4979602
2,TRUE,180000,3,90,-3.55233,40.35809
1,TRUE,290000,0,62,-3.6690968,40.4445608
2,TRUE,435000,2,100,-3.6751665,40.4465136
3,FALSE,1700000,3,240,-3.6960738,40.4257144
6,FALSE,2e+06,6,500,-3.8146373,40.4714081
6,FALSE,6e+06,6,800,-3.6789759,40.4482281
2,FALSE,428000,2,90,-3.8015894,40.4646149
1,TRUE,110000,2,75,-3.7608199,40.3687817
1,TRUE,170000,2,57,-3.700236,40.4101238
5,TRUE,6e+06,5,687,-3.689837,40.4235252
7,FALSE,2800000,8,450,-3.7612704,40.4586884
5,FALSE,1380000,5,400,-3.6339778,40.4614342
1,TRUE,73000,3,72,-3.7287972,40.380388
2,TRUE,260000,3,122,-3.6626117,40.4886597
1,TRUE,118000,2,60,-3.6983383,40.4699652
3,TRUE,392558,4,134,-3.6546432,40.4295619
6,FALSE,1850000,5,700,-3.8258663,40.4783368
7,FALSE,1650000,6,500,-3.7709684,40.4548583
2,TRUE,330000,2,82,-3.6753745,40.4073657
2,TRUE,450000,2,135,-3.6964737,40.5045025
1,TRUE,59000,2,61,-3.7397591,40.3903918
4,FALSE,1e+06,4,187,-3.7948695,40.4693234
2,TRUE,7e+05,5,227,-3.7152493,40.4254066
1,TRUE,170000,2,78,-3.6914482,40.3990771
1,TRUE,120000,3,64,-3.7321631,40.3787981
